ID,NET,Instances,Scenarios,W,b,pulse,total,OF
1,DC,DC1,1,1,0.001178153,0.054760592,1,1
2,DC,DC1,10,28598,20294,0.005105049,0.120235883,3
3,DC,DC1,10,28598,25276,0.001191352,0.116322186,9
4,DC,DC1,10,34827,23408,9.31E-04,0.116061609,9
5,DC,DC1,10,34827,30259,8.16E-04,0.11594693,10
6,DC,DC1,10,41056,26523,6.07E-04,0.115737825,9
7,DC,DC1,10,41056,35242,7.75E-05,0.115208288,10
8,DC,DC1,50,36115,24052,0.007556197,0.108383746,19
9,DC,DC1,50,36115,31290,0.013329208,0.114156757,37
10,DC,DC1,50,38585,25287,0.003459867,0.104287416,32
11,DC,DC1,50,38585,33266,0.009081322,0.109908871,47
12,DC,DC1,50,41056,26523,0.00327374,0.104101289,38
13,DC,DC1,50,41056,35242,0.010907113,0.111734662,49
14,DC,DC1,100,37235,24556,0.001971549,0.23423822,46
15,DC,DC1,100,37235,32163,0.002012337,0.234279008,91
16,DC,DC1,100,39145,25511,0.001532318,0.233798989,61
17,DC,DC1,100,39145,33691,0.003007016,0.235273687,94
18,DC,DC1,100,41056,26467,0.001238776,0.233505447,71
19,DC,DC1,100,41056,35220,0.003283098,0.235549769,97
20,DC,DC1,200,37313,23618,0.001967498,0.45228339,85
21,DC,DC1,200,37313,31835,0.002117098,0.45243299,178
22,DC,DC1,200,39184,24554,0.001914489,0.452230381,118
23,DC,DC1,200,39184,33332,0.003523283,0.453839175,189
24,DC,DC1,200,41056,25490,0.001719073,0.452034965,138
25,DC,DC1,200,41056,34829,0.003389537,0.453705429,195
26,DC,DC1,500,39032,24478,0.002134977,1.499649185,267
27,DC,DC1,500,39032,33210,0.003805232,1.50131944,472
28,DC,DC1,500,43177,26550,0.005228108,1.502742316,352
29,DC,DC1,500,43177,36526,0.005564814,1.503079022,493
30,DC,DC1,500,47323,28623,0.00526708,1.502781288,412
31,DC,DC1,500,47323,39843,0.001262102,1.49877631,500
32,DC,DC1,1000,43253,25551,0.003822833,3.049210654,582
33,DC,DC1,1000,43253,36172,0.007389766,3.052777587,971
34,DC,DC1,1000,47973,27911,0.007470851,3.052858672,767
35,DC,DC1,1000,47973,39948,0.010094161,3.055481982,996
36,DC,DC1,1000,52693,30271,0.009960274,3.055348095,881
37,DC,DC1,1000,52693,43724,0.003227016,3.048614837,1000
38,DC,DC2,1,1,7.84E-05,0.014506244,1,1
39,DC,DC2,10,38087,27365,9.63E-04,0.021046949,2
40,DC,DC2,10,38087,33798,8.09E-04,0.02089274,6
41,DC,DC2,10,38558,27600,3.01E-04,0.020385412,3
42,DC,DC2,10,38558,34175,6.00E-04,0.020684403,7
43,DC,DC2,10,39030,27836,4.61E-04,0.020545349,5
44,DC,DC2,10,39030,34552,6.51E-04,0.020735178,8
45,DC,DC2,50,43802,30222,0.00155788,0.10011496,22
46,DC,DC2,50,43802,38370,0.001818318,0.100375398,45
47,DC,DC2,50,43802,30222,0.001248693,0.099805773,22
48,DC,DC2,50,43802,38370,0.001195682,0.099752762,45
49,DC,DC2,50,43802,30222,8.33E-04,0.099389728,22
50,DC,DC2,50,43802,38370,0.001255606,0.099812686,45
51,DC,DC2,100,47799,31431,0.003127842,0.194317086,56
52,DC,DC2,100,47799,41251,0.00432534,0.195514584,94
53,DC,DC2,100,47799,31431,0.002730863,0.193920107,56
54,DC,DC2,100,47799,41251,0.00406134,0.195250584,94
55,DC,DC2,100,47799,31431,0.002712705,0.193901949,56
56,DC,DC2,100,47799,41251,0.005997551,0.197186795,94
57,DC,DC2,200,51078,33070,0.020144181,0.454002116,102
58,DC,DC2,200,51078,43875,0.02077422,0.454632155,189
59,DC,DC2,200,56161,35612,0.015493659,0.449351594,140
60,DC,DC2,200,56161,47941,0.035033223,0.468891158,198
61,DC,DC2,200,61245,38154,0.012835221,0.446693156,170
