instance,scenarios,sp_time,labels_frac,replica,W,B,bound,pulse_time,total_time,objective,validation
RI1,10,0.343,0.5,0,48156,30778,4,0.002666,0.345666,1,TRUE
RI1,10,0.343,0.5,1,48156,30778,4,0.001165,0.344165,1,TRUE
RI1,10,0.343,0.5,2,48156,30778,4,0.000627,0.343627,1,TRUE
RI1,10,0.343,0.5,3,48156,30778,4,0.000427,0.343427,1,TRUE
RI1,10,0.343,0.5,4,48156,30778,4,0.000383,0.343383,1,TRUE
RI1,10,0.343,0.5,5,48156,30778,4,0.000441,0.343441,1,TRUE
RI1,10,0.343,0.5,6,48156,30778,4,0.000318,0.343318,1,TRUE
RI1,10,0.343,0.5,7,48156,30778,4,0.000407,0.343407,1,TRUE
RI1,10,0.343,0.5,8,48156,30778,4,0.000374,0.343374,1,TRUE
RI1,10,0.343,0.5,9,48156,30778,4,0.000406,0.343406,1,TRUE
RI1,10,0.343,1,0,48156,30778,4,0.000318,0.343318,1,TRUE
RI1,10,0.343,1,1,48156,30778,4,0.000734,0.343734,1,TRUE
RI1,10,0.343,1,2,48156,30778,4,0.000409,0.343409,1,TRUE
RI1,10,0.343,1,3,48156,30778,4,0.000369,0.343369,1,TRUE
RI1,10,0.343,1,4,48156,30778,4,0.000335,0.343335,1,TRUE
RI1,10,0.343,1,5,48156,30778,4,0.00033,0.34333,1,TRUE
RI1,10,0.343,1,6,48156,30778,4,0.000357,0.343357,1,TRUE
RI1,10,0.343,1,7,48156,30778,4,0.000373,0.343373,1,TRUE
RI1,10,0.343,1,8,48156,30778,4,0.000322,0.343322,1,TRUE
RI1,10,0.343,1,9,48156,30778,4,0.000391,0.343391,1,TRUE
RI1,10,0.343,1.5,0,48156,30778,4,0.000328,0.343328,1,TRUE
RI1,10,0.343,1.5,1,48156,30778,4,0.000368,0.343368,1,TRUE
RI1,10,0.343,1.5,2,48156,30778,4,0.000326,0.343326,1,TRUE
RI1,10,0.343,1.5,3,48156,30778,4,0.000335,0.343335,1,TRUE
RI1,10,0.343,1.5,4,48156,30778,4,0.000289,0.343289,1,TRUE
RI1,10,0.343,1.5,5,48156,30778,4,0.000366,0.343366,1,TRUE
RI1,10,0.343,1.5,6,48156,30778,4,0.000792,0.343792,1,TRUE
RI1,10,0.343,1.5,7,48156,30778,4,0.000385,0.343385,1,TRUE
RI1,10,0.343,1.5,8,48156,30778,4,0.000308,0.343308,1,TRUE
RI1,10,0.343,1.5,9,48156,30778,4,0.000293,0.343293,1,TRUE
RI1,10,0.343,2,0,48156,30778,4,0.000246,0.343246,1,TRUE
RI1,10,0.343,2,1,48156,30778,4,0.000448,0.343448,1,TRUE
RI1,10,0.343,2,2,48156,30778,4,0.000286,0.343286,1,TRUE
RI1,10,0.343,2,3,48156,30778,4,0.00028,0.34328,1,TRUE
RI1,10,0.343,2,4,48156,30778,4,0.000445,0.343445,1,TRUE
RI1,10,0.343,2,5,48156,30778,4,0.000343,0.343343,1,TRUE
RI1,10,0.343,2,6,48156,30778,4,0.000482,0.343482,1,TRUE
RI1,10,0.343,2,7,48156,30778,4,0.000275,0.343275,1,TRUE
RI1,10,0.343,2,8,48156,30778,4,0.000371,0.343371,1,TRUE
RI1,10,0.343,2,9,48156,30778,4,0.000286,0.343286,1,TRUE
