"Instance,",Q,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)","Pulse SD (w1,b1)","Pulse SD (w1,b2)","Pulse SD (w2,b1)","Pulse SD (w2,b2)","Pulse SD (w3,b1)","Pulse SD (w3,b2)","Total Mean (w1,b1)","Total Mean (w1,b2)","Total Mean (w2,b1)","Total Mean (w2,b2)","Total Mean (w3,b1)","Total Mean (w3,b2)","Total SD (w1,b1)","Total SD (w1,b2)","Total SD (w2,b1)","Total SD (w2,b2)","Total SD (w3,b1)","Total SD (w3,b2)",VarCoeff,,,,,,
1,500,0.0171555,0.0221913,0.0527848,0.0699376,0.0555579,0.0111951,0.001216582,0.001415628,0.002575725,0.002638665,0.001607787,0.000690909,11.4551555,10.5691913,9.2407848,9.6639376,9.4925579,9.6201951,0.001216582,0.001415628,0.002575725,0.002638665,0.001607787,0.000690909,,,,,,,
1,1000,0.0184984,0.0216473,0.0513721,0.0751076,0.0562087,0.0110569,0.001283447,0.000788412,0.001165433,0.007829628,0.002571006,0.001000405,11.4564984,10.5686473,9.2393721,9.6691076,9.4932087,9.6200568,0.001283447,0.000788412,0.001165433,0.007829628,0.002571006,0.001000441,0.000112028,7.45991E-05,0.000126138,0.000809757,0.000270826,0.000103995,0.000249557
1,1500,0.0183635,0.0211357,0.0515743,0.070522,0.0576935,0.0116465,0.000751009,0.000673905,0.001452434,0.002490306,0.002728011,0.001006328,11.4563635,10.5681357,9.2395743,9.664522,9.4946935,9.6206465,0.000751009,0.000673905,0.001452434,0.002490306,0.002728011,0.001006328,,,,,,,
2,500,2.3727128,2.895681,1.5938739,5.2302584,1.7898856,5.3424022,0.055675158,0.041416633,0.024425326,0.052838394,0.034919184,0.065611261,12.5907128,13.613681,12.2338739,14.8862584,11.2428856,16.5144022,0.055675158,0.041416633,0.024425326,0.052838394,0.034919184,0.065611261,,,,,,,
2,1000,2.6143247,3.5211029,1.6534894,6.8736042,1.9098918,7.0789758,0.074777972,0.082537019,0.022485827,0.116512623,0.02537653,0.071554911,12.8323247,14.2391029,12.2934894,16.5296042,11.3628918,18.2509758,0.074777972,0.082537019,0.022485827,0.116512623,0.02537653,0.071554911,0.005827313,0.005796504,0.001829084,0.007048724,0.002233281,0.003920607,0.004442586
2,1500,2.7798823,3.8724654,1.6956968,7.882968,1.9649867,8.2148687,0.059129033,0.101569102,0.026705499,0.151922344,0.044190501,0.082820212,12.9978823,14.5904654,12.3356968,17.538968,11.4179866,19.3868687,0.059129033,0.101569102,0.026705499,0.151922344,0.044190485,0.082820212,,,,,,,
3,500,0.0912222,0.0986723,0.1214875,0.1372381,0.0952644,0.1622749,0.003559858,0.007395374,0.00474679,0.004793239,0.004205135,0.011114558,9.4032221,9.9426723,9.9344875,12.2462381,14.2832644,9.2562749,0.003559816,0.007395374,0.00474679,0.004793239,0.004205135,0.011114558,,,,,,,
3,1000,0.0907979,0.0952651,0.1145939,0.137815,0.0937345,0.1637422,0.004358719,0.00701685,0.003484272,0.009347523,0.002513877,0.012292835,9.4027978,9.9392651,9.9275939,12.246815,14.2817345,9.2577422,0.00435878,0.00701685,0.003484272,0.009347523,0.002513877,0.012292835,0.000463562,0.000705973,0.000350968,0.000763262,0.00017602,0.001327844,0.000631271
3,1500,0.0926524,0.0937775,0.118228,0.1369404,0.0939923,0.1593102,0.008774366,0.00703448,0.013364874,0.005590458,0.004086273,0.008454707,9.4046523,9.9377774,9.931228,12.2459404,14.2819923,9.2533102,0.008774398,0.007034542,0.013364874,0.005590458,0.004086273,0.008454707,,,,,,,
4,500,0.0266224,0.0263495,0.0256341,0.0231009,0.0272172,0.0234328,0.001221973,0.011724867,0.001605068,0.000902131,0.001246107,0.001466097,8.9636223,10.9483495,9.2446341,10.1021009,9.1832172,10.2734328,0.001221832,0.011724867,0.001605068,0.000902131,0.001246107,0.001466097,,,,,,,
4,1000,0.0296496,0.0225939,0.0255538,0.0232515,0.0259765,0.0227512,0.005980193,0.001059205,0.000429434,0.000843663,0.000855186,0.00104891,8.9666496,10.9445939,9.2445536,10.1022515,9.1819765,10.2727512,0.005980193,0.001059205,0.000429481,0.000843663,0.000855186,0.00104891,0.000666937,9.67789E-05,4.64577E-05,8.35124E-05,9.31375E-05,0.000102106,0.000181488
4,1500,0.0283169,0.0222617,0.02672,0.0234383,0.0257563,0.0233477,0.001367001,0.000391909,0.001786143,0.000775413,0.000904612,0.000837708,8.9653169,10.9442617,9.24572,10.1024383,9.1817563,10.2733477,0.001367001,0.000391909,0.001786143,0.000775413,0.000904612,0.000837708,,,,,,,
1,500,0.0171555,0.0221913,0.0527848,0.0699376,0.0555579,0.0111951,0.001216582,0.001415628,0.002575725,0.002638665,0.001607787,0.000690909,11.4551555,10.5691913,9.2407848,9.6639376,9.4925579,9.6201951,0.001216582,0.001415628,0.002575725,0.002638665,0.001607787,0.000690909,,,,,,,
1,1000,0.0184984,0.0216473,0.0513721,0.0751076,0.0562087,0.0110569,0.001283447,0.000788412,0.001165433,0.007829628,0.002571006,0.001000405,11.4564984,10.5686473,9.2393721,9.6691076,9.4932087,9.6200568,0.001283447,0.000788412,0.001165433,0.007829628,0.002571006,0.001000441,0.000112028,7.45991E-05,0.000126138,0.000809757,0.000270826,0.000103995,0.000249557
1,1500,0.0183635,0.0211357,0.0515743,0.070522,0.0576935,0.0116465,0.000751009,0.000673905,0.001452434,0.002490306,0.002728011,0.001006328,11.4563635,10.5681357,9.2395743,9.664522,9.4946935,9.6206465,0.000751009,0.000673905,0.001452434,0.002490306,0.002728011,0.001006328,,,,,,,
2,500,2.3727128,2.895681,1.5938739,5.2302584,1.7898856,5.3424022,0.055675158,0.041416633,0.024425326,0.052838394,0.034919184,0.065611261,12.5907128,13.613681,12.2338739,14.8862584,11.2428856,16.5144022,0.055675158,0.041416633,0.024425326,0.052838394,0.034919184,0.065611261,,,,,,,
