,"Instance,",Q,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)","Pulse SD (w1,b1)","Pulse SD (w1,b2)","Pulse SD (w2,b1)","Pulse SD (w2,b2)","Pulse SD (w3,b1)","Pulse SD (w3,b2)","Total Mean (w1,b1)","Total Mean (w1,b2)","Total Mean (w2,b1)","Total Mean (w2,b2)","Total Mean (w3,b1)","Total Mean (w3,b2)","Total SD (w1,b1)","Total SD (w1,b2)","Total SD (w2,b1)","Total SD (w2,b2)","Total SD (w3,b1)","Total SD (w3,b2)"
1,1.0,1000.0,0.0184984,0.0216473,0.0513721,0.07510760000000001,0.056208699999999986,0.0110569,0.001283446852122137,0.0007884120538567803,0.0011654326283020886,0.007829627835628232,0.002571006203804262,0.0010004054122648924,11.456498400000001,10.5686473,9.2393721,9.6691076,9.4932087,9.620056799999999,0.0012834468521220619,0.0007884120538569018,0.0011654326283020758,0.007829627835628256,0.002571006203804025,0.0010004411027140626
4,2.0,1000.0,2.6143247,3.5211029,1.6534894000000002,6.8736042,1.9098918,7.0789758,0.07477797160787988,0.0825370186730375,0.022485827349688518,0.11651262346372616,0.025376530070125778,0.07155491087083654,12.832324700000001,14.2391029,12.2934894,16.5296042,11.3628918,18.250975800000003,0.07477797160787986,0.08253701867303778,0.022485827349688393,0.11651262346372637,0.025376530070125917,0.0715549108708359
7,3.0,1000.0,0.09079789999999999,0.09526509999999999,0.11459389999999998,0.137815,0.09373449999999998,0.16374219999999998,0.004358719216824031,0.007016850345180998,0.003484272487430718,0.009347522832874555,0.0025138769637531783,0.01229283482177954,9.402797799999998,9.9392651,9.9275939,12.246814999999998,14.281734499999999,9.257742200000001,0.004358780405368515,0.007016850345180674,0.003484272487430892,0.009347522832874489,0.0025138769637531827,0.01229283482177964
10,4.0,1000.0,0.029649600000000005,0.022593899999999997,0.025553799999999998,0.0232515,0.025976499999999996,0.0227512,0.005980192995770844,0.001059205304828945,0.00042943420140148676,0.0008436633412287945,0.0008551861720636555,0.001048909889149471,8.9666496,10.944593899999997,9.244553600000001,10.102251500000001,9.1819765,10.2727512,0.005980192995770975,0.0010592053048293967,0.0004294811339800653,0.0008436633412291682,0.0008551861720634878,0.0010489098891495656
13,5.0,1000.0,0.6291928999999999,0.5809317,0.8109647000000001,0.9925133,0.7196929,1.0547575999999999,0.006220256362169564,0.018790934977920743,0.014810270453303706,0.021449054509335472,0.019552584577378896,0.01877270502736469,10.614192899999999,11.689931699999999,10.873964699999998,11.6645133,12.0006929,10.6637576,0.0062202563621696115,0.01879093497792081,0.014810270453302991,0.021449054509335642,0.019552584577379004,0.018772705027364767
16,6.0,1000.0,0.4058542,1.6180461000000002,0.4012365,1.6226104999999997,0.4168553000000001,1.6077076,0.010925334409323842,0.02735210408502015,0.008722826940466805,0.022573938342207292,0.022137947892702254,0.0244730488778529,10.4528542,12.930045999999999,11.1512365,10.403610500000001,9.6358553,10.7637076,0.010925334409323799,0.027351866907641534,0.008722826940466718,0.022573938342207462,0.02213794789270237,0.024473048877853145
19,7.0,1000.0,0.0101244,0.006969100000000001,0.022395599999999998,0.0129935,0.0132776,0.0153649,0.0003832391768421733,0.0017767364870583497,0.0009957294590176372,0.0007232404318221034,0.00056363506712135,0.0008443185878433433,9.0261244,9.3819691,9.975395599999999,8.9039935,8.6702776,9.2023647,0.0003832391768418737,0.0017767364870583577,0.0009957294590175112,0.0007232404318219607,0.0005636350671211518,0.0008443744627433183
22,8.0,1000.0,11.0016804,13.780058499999999,5.138131499999999,15.482348600000003,9.4782963,22.703192600000005,0.19834410579103287,0.24382421419641634,0.03371353399271244,0.1788613134937536,0.08366719497316569,0.3053457282339337,24.766680400000002,24.6550585,13.639131500000001,27.5293486,19.4472963,33.6721926,0.19834410579103298,0.24382421419641698,0.03371353399271274,0.17886131349375425,0.08366719497316667,0.305345728233934
25,9.0,1000.0,479.51264419999995,763.7409876000002,54.555685,610.7524228999999,50.3587263,647.2747498000001,13.416854151373519,3.7431702410499805,0.28049945602759435,6.865778077473375,0.6872441735779952,6.7412839101329896,509.5126441999999,785.0539876,71.897685,629.9864229000001,66.3437263,664.6027498,13.416854151373508,3.743170241049974,0.28049945602759513,6.865778077473371,0.6872441735779918,6.741283910132994
28,10.0,1000.0,67.1654981,591.3836415,21.2390005,266.5517597,21.4209651,360.48822060000003,1.0244505118197065,4.545222061358065,0.18819373370737436,1.8112525122929735,0.2028865208876082,1.9249612931235298,78.1184981,601.2426415000001,35.3010005,280.22375969999996,34.170965100000004,373.5202206,1.0244505118197047,4.545222061358072,0.18819373370737466,1.8112525122929641,0.20288652088760764,1.9249612931235258
31,11.0,1000.0,0.9682856,0.9723219000000001,0.6881626,1.5050130000000004,0.6895735000000001,2.1883272,0.03686392079346237,0.029927393346973055,0.026023461778428583,0.03591984472250528,0.014559971621233053,0.060385316908812985,10.9532856,9.3473219,11.173162600000001,10.740013,12.2535735,11.485327199999997,0.03686392079346216,0.029927393346972732,0.02602346177842842,0.03591984472250505,0.014559971621232981,0.06038531690881292
34,12.0,1000.0,0.23196789999999998,0.585579,0.34329289999999996,0.8858283,0.27388650000000003,0.6001603,0.01122514293351215,0.02169799681998318,0.011683342733709958,0.023187438462571857,0.00818990528028255,0.020008352989300364,8.8879679,9.069579000000001,12.1712927,9.666828300000002,9.9458865,9.2871603,0.011225142933512044,0.0216979968199831,0.011683370842070322,0.023187438462571604,0.008189905280282274,0.020008352989300295
37,13.0,1000.0,0.1590413,0.171227,0.1763235,0.26777690000000004,0.07555590000000001,0.2640365,0.009191349556935466,0.009639627344111045,0.007993657656055968,0.01720590656625412,0.002290586409634001,0.014408955342270841,10.565041299999999,10.734226999999999,8.6913235,9.0957769,11.9195559,9.404036499999998,0.009191349556935381,0.009639627344111112,0.007993657656056153,0.01720590656625399,0.002290586409634058,0.014408955342270742
40,14.0,1000.0,0.028268200000000004,0.03451069999999999,0.039123899999999996,0.08042830000000002,0.022326000000000002,0.1059531,0.0028231627575390607,0.0011832479828374491,0.002138556805677864,0.004395082783950468,0.001023299456551101,0.005502681739136129,9.872268199999999,10.4255107,9.477123899999999,11.517428200000001,10.038326000000001,8.7779531,0.002823162757539012,0.0011832479828374042,0.0021385568056780774,0.0043951697679258704,0.0010232994565511145,0.005502681739136251
43,15.0,1000.0,1.8849162999999998,7.548871399999999,1.2410417,11.1706874,0.8498885999999999,9.174373200000002,0.04346090466678708,0.16232374477444747,0.03219173732859622,0.1568432730879249,0.02851160354896471,0.15976613949408805,11.3699163,17.048871400000003,12.788041699999999,22.951687400000004,14.0528885,18.9553732,0.04346090466678701,0.16232374477444825,0.032191737328596266,0.15684327308792478,0.02851144371515077,0.15976613949408813
46,16.0,1000.0,0.17825449999999998,0.4623728,0.4109452,0.9196622,0.2521049,1.3895296000000001,0.0073819214187996664,0.019200589046519737,0.013502099217858266,0.019149487256262965,0.01670563215372454,0.03427366259389272,8.7562545,11.6503728,9.675945200000001,9.1856622,10.2371049,11.2175296,0.007381921418799431,0.019200589046519757,0.01350209921785785,0.019149487256262775,0.016705632153724784,0.03427366259389261
49,17.0,1000.0,0.09158210000000001,0.09112019999999998,0.06584,0.0900523,0.0348128,0.055729799999999996,0.006766929033501419,0.011427660184346086,0.0030384029796369457,0.0030473398253412958,0.0020805933875806784,0.002802441427676154,9.8415821,9.3251202,9.127840000000003,9.1540523,8.9878128,9.4767298,0.00676692903350159,0.011427660184345777,0.0030384029796364067,0.0030473398253414658,0.002080593387580549,0.0028024414276766473
52,18.0,1000.0,0.2877363,0.33662509999999995,0.3839217,0.46262050000000005,0.34303110000000003,0.49981949999999997,0.014523103640215628,0.01840503705480891,0.010799317129131623,0.032182173516991965,0.02024720656425364,0.023484954414120848,9.0067362,9.0236251,9.477921700000001,13.2436205,10.889031,10.249819500000001,0.01452302958752034,0.01840503705480873,0.01079931712913131,0.032182173516992006,0.020247228424870596,0.023484954414121018
55,19.0,1000.0,0.2706188,0.8081283000000001,0.30076630000000004,0.6509024000000001,0.3439478,0.8505822999999999,0.0159364229277882,0.029082836397091666,0.01770209467862804,0.032147806201979004,0.019283022785168642,0.04102899729337776,8.7236188,9.7611283,9.2847663,10.4009024,11.4379478,11.7405823,0.01593642292778821,0.0290828363970916,0.017702094678628037,0.0321478062019794,0.01928302278516861,0.041028997293377834
58,20.0,1000.0,0.0157715,0.029203599999999996,0.0212342,0.030088000000000004,0.0197376,0.0366897,0.001133971511497925,0.0009008723179970255,0.0012796921331146634,0.0015781673619176839,0.0008745198301544297,0.002239243029339254,8.7027715,8.8732036,10.756234099999999,10.326087999999999,9.910737600000001,9.8486897,0.0011339715114980786,0.0009008723179971177,0.0012797760611399022,0.0015781673619176737,0.0008745198301546685,0.0022392430293390535
61,21.0,1000.0,1.1938567999999998,1.3966241,0.6875507999999999,1.3126988,0.7546281,1.4649828,0.0373327661528345,0.0345408645695372,0.02466811970404987,0.043412820238573145,0.0376464382156164,0.041083340621500375,11.6948568,12.178624099999999,10.031550800000002,10.125698799999999,11.488628100000001,11.3089827,0.03733276615283458,0.034540864569537144,0.02466811970404995,0.04341282023857336,0.03764643821561648,0.04108323414470798
64,22.0,1000.0,0.09612069999999999,0.21913359999999998,0.1070382,0.1285211,0.039703199999999994,0.06224740000000001,0.005682127126154233,0.015750733811476833,0.0050351104324201906,0.002352131631331694,0.0013577751245655103,0.002514779345301605,8.361120699999999,8.735133600000001,8.810038200000001,7.9885211,11.0237032,8.6872474,0.0056821271261548395,0.015750733811477086,0.005035110432420001,0.0023521316313316106,0.001357775124565772,0.0025147793453015213
67,23.0,1000.0,0.11692379999999998,0.11476230000000003,0.056658299999999995,0.12336459999999998,0.0398793,0.10999489999999998,0.008997633982825087,0.007849021057855983,0.013910985866892715,0.005573941856731396,0.0016073446736776778,0.010060935117241012,10.726923800000002,10.3487623,8.6216582,10.373364599999999,11.914879299999999,8.8449949,0.008997633982825106,0.007849021057855973,0.013911049962769484,0.0055739418567310045,0.001607344673677488,0.010060935117241146
