,"Instance,",Q,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)",500/1000,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)",1500/1000,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)"
1,1,1000,0.0184984,0.0216473,0.0513721,0.0751076,0.0562087,0.0110569,,0.927,1.025,1.027,0.931,0.988,1.012,,0.993,0.976,1.004,0.939,1.026,1.053
4,2,1000,2.6143247,3.5211029,1.6534894,6.8736042,1.9098918,7.0789758,,0.908,0.822,0.964,0.761,0.937,0.755,,1.063,1.100,1.026,1.147,1.029,1.160
7,3,1000,0.0907979,0.0952651,0.1145939,0.137815,0.0937345,0.1637422,,1.005,1.036,1.060,0.996,1.016,0.991,,1.020,0.984,1.032,0.994,1.003,0.973
10,4,1000,0.0296496,0.0225939,0.0255538,0.0232515,0.0259765,0.0227512,,0.898,1.166,1.003,0.994,1.048,1.030,,0.955,0.985,1.046,1.008,0.992,1.026
13,5,1000,0.6291929,0.5809317,0.8109647,0.9925133,0.7196929,1.0547576,,0.980,0.989,0.960,0.936,0.979,0.907,,0.994,1.006,1.008,1.010,0.996,1.033
16,6,1000,0.4058542,1.6180461,0.4012365,1.6226105,0.4168553,1.6077076,,1.013,0.945,1.001,0.962,0.972,0.958,,0.989,1.013,1.004,1.012,0.970,1.030
19,7,1000,0.0101244,0.0069691,0.0223956,0.0129935,0.0132776,0.0153649,,1.002,0.977,1.033,1.359,1.002,1.149,,0.969,0.976,1.013,0.987,0.994,1.030
22,8,1000,11.0016804,13.7800585,5.1381315,15.4823486,9.4782963,22.7031926,,0.884,0.860,0.923,0.833,0.880,0.811,,1.055,1.056,1.026,1.096,1.049,1.120
25,10,1000,67.1654981,591.3836415,21.2390005,266.5517597,21.4209651,360.4882206,,0.806,0.755,0.837,0.762,0.842,0.755,,1.137,1.234,1.116,1.232,1.085,1.242
28,11,1000,0.9682856,0.9723219,0.6881626,1.505013,0.6895735,2.1883272,,0.995,0.999,1.021,1.003,1.005,0.986,,0.996,0.993,1.004,0.978,1.013,0.980
31,12,1000,0.2319679,0.585579,0.3432929,0.8858283,0.2738865,0.6001603,,0.942,0.988,1.018,1.003,1.005,1.007,,0.913,0.955,0.961,1.019,1.017,0.995
34,13,1000,0.1590413,0.171227,0.1763235,0.2677769,0.0755559,0.2640365,,0.956,0.996,1.015,1.018,1.051,0.975,,1.038,1.007,1.034,1.010,1.062,0.939
37,14,1000,0.0282682,0.0345107,0.0391239,0.0804283,0.022326,0.1059531,,0.941,1.080,1.092,1.061,0.985,0.980,,0.874,0.998,1.107,1.040,1.188,0.981
40,15,1000,1.8849163,7.5488714,1.2410417,11.1706874,0.8498886,9.1743732,,0.997,0.933,0.996,0.920,1.036,0.903,,1.019,1.034,1.022,1.067,1.010,1.037
43,16,1000,0.1782545,0.4623728,0.4109452,0.9196622,0.2521049,1.3895296,,1.004,1.016,0.994,0.982,1.012,1.004,,0.984,0.968,1.044,0.984,0.968,0.993
46,17,1000,0.0915821,0.0911202,0.06584,0.0900523,0.0348128,0.0557298,,1.011,0.946,0.963,1.066,1.113,1.119,,1.058,1.032,0.906,0.952,1.111,1.097
49,18,1000,0.2877363,0.3366251,0.3839217,0.4626205,0.3430311,0.4998195,,0.992,1.020,0.981,0.958,1.062,1.014,,0.974,0.969,0.990,0.956,1.044,1.024
